Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,112336538,54855231,57481307
Estados Unidos Mexicanos,0 a 4 años,10528322,5346943,5181379
Estados Unidos Mexicanos,5 a 9 años,11047537,5604175,5443362
Estados Unidos Mexicanos,10 a 14 años,10939937,5547613,5392324
Estados Unidos Mexicanos,15 a 19 años,11026112,5520121,5505991
Estados Unidos Mexicanos,20 a 24 años,9892271,4813204,5079067
Estados Unidos Mexicanos,25 a 29 años,8788177,4205975,4582202
Estados Unidos Mexicanos,30 a 34 años,8470798,4026031,4444767
Estados Unidos Mexicanos,35 a 39 años,8292987,3964738,4328249
Estados Unidos Mexicanos,40 a 44 años,7009226,3350322,3658904
Estados Unidos Mexicanos,45 a 49 años,5928730,2824364,3104366
Estados Unidos Mexicanos,50 a 54 años,5064291,2402451,2661840
Estados Unidos Mexicanos,55 a 59 años,3895365,1869537,2025828
Estados Unidos Mexicanos,60 a 64 años,3116466,1476667,1639799
Estados Unidos Mexicanos,65 a 69 años,2317265,1095273,1221992
Estados Unidos Mexicanos,70 a 74 años,1873934,873893,1000041
Estados Unidos Mexicanos,75 a 79 años,1245483,579689,665794
Estados Unidos Mexicanos,80 a 84 años,798936,355277,443659
Estados Unidos Mexicanos,85 a 89 años,454164,197461,256703
Estados Unidos Mexicanos,90 a 94 años,164924,68130,96794
Estados Unidos Mexicanos,95 a 99 años,65732,25920,39812
Estados Unidos Mexicanos,100 años y más,18475,7228,11247
Estados Unidos Mexicanos,No especificado,1397406,700219,697187
Aguascalientes,Total,1184996,576638,608358
Aguascalientes,0 a 4 años,121557,61941,59616
Aguascalientes,5 a 9 años,128874,65572,63302
Aguascalientes,10 a 14 años,123806,62615,61191
Aguascalientes,15 a 19 años,121428,60636,60792
Aguascalientes,20 a 24 años,106305,51431,54874
Aguascalientes,25 a 29 años,93604,44568,49036
Aguascalientes,30 a 34 años,88726,41962,46764
Aguascalientes,35 a 39 años,86254,40569,45685
Aguascalientes,40 a 44 años,73084,34381,38703
Aguascalientes,45 a 49 años,60198,28420,31778
Aguascalientes,50 a 54 años,49980,23436,26544
Aguascalientes,55 a 59 años,37543,17960,19583
Aguascalientes,60 a 64 años,29258,13686,15572
Aguascalientes,65 a 69 años,21004,9895,11109
Aguascalientes,70 a 74 años,15254,6967,8287
Aguascalientes,75 a 79 años,10673,4862,5811
Aguascalientes,80 a 84 años,7228,3094,4134
Aguascalientes,85 a 89 años,4061,1780,2281
Aguascalientes,90 a 94 años,1467,605,862
Aguascalientes,95 a 99 años,551,229,322
Aguascalientes,100 años y más,109,45,64
Aguascalientes,No especificado,4032,1984,2048
Baja California,Total,3155070,1591610,1563460
Baja California,0 a 4 años,293234,149167,144067
Baja California,5 a 9 años,303180,153886,149294
Baja California,10 a 14 años,305472,155483,149989
Baja California,15 a 19 años,299195,152077,147118
Baja California,20 a 24 años,286479,144597,141882
Baja California,25 a 29 años,265428,133546,131882
Baja California,30 a 34 años,264023,132857,131166
Baja California,35 a 39 años,264063,135331,128732
Baja California,40 a 44 años,215049,110722,104327
Baja California,45 a 49 años,171104,86928,84176
Baja California,50 a 54 años,136690,68093,68597
Baja California,55 a 59 años,97874,48250,49624
Baja California,60 a 64 años,75229,36151,39078
Baja California,65 a 69 años,52560,25086,27474
Baja California,70 a 74 años,37742,17956,19786
Baja California,75 a 79 años,24055,11223,12832
Baja California,80 a 84 años,14744,6578,8166
Baja California,85 a 89 años,7764,3360,4404
Baja California,90 a 94 años,2641,1079,1562
Baja California,95 a 99 años,913,314,599
Baja California,100 años y más,206,57,149
Baja California,No especificado,37425,18869,18556
Baja California Sur,Total,637026,325433,311593
Baja California Sur,0 a 4 años,60758,30840,29918
Baja California Sur,5 a 9 años,60334,30636,29698
Baja California Sur,10 a 14 años,57380,29340,28040
Baja California Sur,15 a 19 años,57713,29730,27983
Baja California Sur,20 a 24 años,58690,30273,28417
Baja California Sur,25 a 29 años,57525,29600,27925
Baja California Sur,30 a 34 años,56159,28734,27425
Baja California Sur,35 a 39 años,52235,26810,25425
Baja California Sur,40 a 44 años,42163,21760,20403
Baja California Sur,45 a 49 años,34308,17451,16857
Baja California Sur,50 a 54 años,28122,14297,13825
Baja California Sur,55 a 59 años,20188,10384,9804
Baja California Sur,60 a 64 años,14895,7573,7322
Baja California Sur,65 a 69 años,10279,5225,5054
Baja California Sur,70 a 74 años,7012,3480,3532
Baja California Sur,75 a 79 años,4598,2283,2315
Baja California Sur,80 a 84 años,2805,1284,1521
Baja California Sur,85 a 89 años,1589,677,912
Baja California Sur,90 a 94 años,655,265,390
Baja California Sur,95 a 99 años,223,82,141
Baja California Sur,100 años y más,58,27,31
Baja California Sur,No especificado,9337,4682,4655
Campeche,Total,822441,407721,414720
Campeche,0 a 4 años,76925,39317,37608
Campeche,5 a 9 años,78299,39758,38541
Campeche,10 a 14 años,81314,41146,40168
Campeche,15 a 19 años,82920,41693,41227
Campeche,20 a 24 años,76388,37219,39169
Campeche,25 a 29 años,68197,32562,35635
Campeche,30 a 34 años,64927,30991,33936
Campeche,35 a 39 años,61896,30049,31847
Campeche,40 a 44 años,50522,24853,25669
Campeche,45 a 49 años,42811,21000,21811
Campeche,50 a 54 años,35658,17658,18000
Campeche,55 a 59 años,28316,14154,14162
Campeche,60 a 64 años,21379,10611,10768
Campeche,65 a 69 años,15079,7595,7484
Campeche,70 a 74 años,12890,6468,6422
Campeche,75 a 79 años,8320,4276,4044
Campeche,80 a 84 años,5254,2687,2567
Campeche,85 a 89 años,3209,1620,1589
Campeche,90 a 94 años,1127,573,554
Campeche,95 a 99 años,479,223,256
Campeche,100 años y más,142,75,67
Campeche,No especificado,6389,3193,3196
Coahuila de Zaragoza,Total,2748391,1364197,1384194
Coahuila de Zaragoza,0 a 4 años,258246,131289,126957
Coahuila de Zaragoza,5 a 9 años,270736,137858,132878
Coahuila de Zaragoza,10 a 14 años,268193,136153,132040
Coahuila de Zaragoza,15 a 19 años,261942,132477,129465
Coahuila de Zaragoza,20 a 24 años,230132,115443,114689
Coahuila de Zaragoza,25 a 29 años,210236,104230,106006
Coahuila de Zaragoza,30 a 34 años,216325,106088,110237
Coahuila de Zaragoza,35 a 39 años,211770,103371,108399
Coahuila de Zaragoza,40 a 44 años,177554,86374,91180
Coahuila de Zaragoza,45 a 49 años,150271,72906,77365
Coahuila de Zaragoza,50 a 54 años,125961,60909,65052
Coahuila de Zaragoza,55 a 59 años,95121,46924,48197
Coahuila de Zaragoza,60 a 64 años,77527,37467,40060
Coahuila de Zaragoza,65 a 69 años,55667,26827,28840
Coahuila de Zaragoza,70 a 74 años,42832,20407,22425
Coahuila de Zaragoza,75 a 79 años,27610,13197,14413
Coahuila de Zaragoza,80 a 84 años,17076,7645,9431
Coahuila de Zaragoza,85 a 89 años,9002,3900,5102
Coahuila de Zaragoza,90 a 94 años,2959,1238,1721
Coahuila de Zaragoza,95 a 99 años,1008,385,623
Coahuila de Zaragoza,100 años y más,263,91,172
Coahuila de Zaragoza,No especificado,37960,19018,18942
Colima,Total,650555,322790,327765
Colima,0 a 4 años,58263,29676,28587
Colima,5 a 9 años,59869,30334,29535
Colima,10 a 14 años,59473,30707,28766
Colima,15 a 19 años,62323,31543,30780
Colima,20 a 24 años,60070,29487,30583
Colima,25 a 29 años,53136,25994,27142
Colima,30 a 34 años,50521,24590,25931
Colima,35 a 39 años,48863,23868,24995
Colima,40 a 44 años,41432,20101,21331
Colima,45 a 49 años,35812,17505,18307
Colima,50 a 54 años,30917,15247,15670
Colima,55 a 59 años,23301,11581,11720
Colima,60 a 64 años,18355,8939,9416
Colima,65 a 69 años,13806,6765,7041
Colima,70 a 74 años,10239,4918,5321
Colima,75 a 79 años,6976,3375,3601
Colima,80 a 84 años,4565,2050,2515
Colima,85 a 89 años,2906,1352,1554
Colima,90 a 94 años,1259,531,728
Colima,95 a 99 años,499,228,271
Colima,100 años y más,123,65,58
Colima,No especificado,7847,3934,3913
Chiapas,Total,4796580,2352807,2443773
Chiapas,0 a 4 años,540459,273660,266799
Chiapas,5 a 9 años,554692,280057,274635
Chiapas,10 a 14 años,549896,279274,270622
Chiapas,15 a 19 años,530233,262407,267826
Chiapas,20 a 24 años,438019,207582,230437
Chiapas,25 a 29 años,366537,170660,195877
Chiapas,30 a 34 años,335370,157234,178136
Chiapas,35 a 39 años,307983,145306,162677
Chiapas,40 a 44 años,246620,119049,127571
Chiapas,45 a 49 años,212924,103387,109537
Chiapas,50 a 54 años,174407,85517,88890
Chiapas,55 a 59 años,137559,69026,68533
Chiapas,60 a 64 años,110499,54902,55597
Chiapas,65 a 69 años,78922,38302,40620
Chiapas,70 a 74 años,68500,34470,34030
Chiapas,75 a 79 años,39750,20238,19512
Chiapas,80 a 84 años,24678,12299,12379
Chiapas,85 a 89 años,13513,6572,6941
Chiapas,90 a 94 años,5569,2754,2815
Chiapas,95 a 99 años,2583,1226,1357
Chiapas,100 años y más,1467,726,741
Chiapas,No especificado,56400,28159,28241
Chihuahua,Total,3406465,1692545,1713920
Chihuahua,0 a 4 años,322676,163607,159069
Chihuahua,5 a 9 años,335064,170477,164587
Chihuahua,10 a 14 años,324661,164749,159912
Chihuahua,15 a 19 años,322034,162488,159546
Chihuahua,20 a 24 años,285872,142953,142919
Chihuahua,25 a 29 años,255036,126385,128651
Chihuahua,30 a 34 años,251304,124137,127167
Chihuahua,35 a 39 años,259968,128448,131520
Chihuahua,40 a 44 años,222756,109944,112812
Chihuahua,45 a 49 años,183153,89363,93790
Chihuahua,50 a 54 años,149069,71988,77081
Chihuahua,55 a 59 años,108607,52311,56296
Chihuahua,60 a 64 años,89542,42534,47008
