Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Hidalgo,25 a 29 años,175226,78011,97215
Hidalgo,30 a 34 años,173306,78284,95022
Hidalgo,35 a 39 años,159174,73325,85849
Hidalgo,40 a 44 años,135441,63506,71935
Hidalgo,45 a 49 años,116547,55512,61035
Hidalgo,50 a 54 años,93857,45771,48086
Hidalgo,55 a 59 años,73161,35672,37489
Hidalgo,60 a 64 años,65005,31058,33947
Hidalgo,65 a 69 años,46738,22345,24393
Hidalgo,70 a 74 años,35516,16901,18615
Hidalgo,75 a 79 años,25653,12155,13498
Hidalgo,80 a 84 años,16502,7413,9089
Hidalgo,85 a 89 años,9117,3974,5143
Hidalgo,90 a 94 años,3470,1381,2089
Hidalgo,95 a 99 años,1703,628,1075
Hidalgo,100 años y más,621,204,417
Hidalgo,No especificado,29050,14508,14542
Jalisco,Total,6752113,3278822,3473291
Jalisco,0 a 4 años,674285,342642,331643
Jalisco,5 a 9 años,688681,349996,338685
Jalisco,10 a 14 años,697206,354242,342964
Jalisco,15 a 19 años,669724,330944,338780
Jalisco,20 a 24 años,601671,285876,315795
Jalisco,25 a 29 años,523866,246599,277267
Jalisco,30 a 34 años,509541,240566,268975
Jalisco,35 a 39 años,448698,211444,237254
Jalisco,40 a 44 años,379829,179031,200798
Jalisco,45 a 49 años,318734,149555,169179
Jalisco,50 a 54 años,267921,125979,141942
Jalisco,55 a 59 años,208005,99191,108814
Jalisco,60 a 64 años,172579,81797,90782
Jalisco,65 a 69 años,126101,59336,66765
Jalisco,70 a 74 años,96044,44817,51227
Jalisco,75 a 79 años,69383,32186,37197
Jalisco,80 a 84 años,48147,21475,26672
Jalisco,85 a 89 años,27217,12006,15211
Jalisco,90 a 94 años,11502,4926,6576
Jalisco,95 a 99 años,4526,1778,2748
Jalisco,100 años y más,1027,409,618
Jalisco,No especificado,207426,104027,103399
México,Total,14007495,6832822,7174673
México,0 a 4 años,1373064,697889,675175
México,5 a 9 años,1362065,691997,670068
México,10 a 14 años,1410691,713138,697553
México,15 a 19 años,1334112,663064,671048
México,20 a 24 años,1250151,601037,649114
México,25 a 29 años,1152407,546014,606393
México,30 a 34 años,1147320,541872,605448
México,35 a 39 años,1016457,483846,532611
México,40 a 44 años,839324,402414,436910
México,45 a 49 años,682173,325717,356456
México,50 a 54 años,539308,259710,279598
México,55 a 59 años,388919,187632,201287
México,60 a 64 años,305945,145437,160508
México,65 a 69 años,215924,100467,115457
México,70 a 74 años,156324,71808,84516
México,75 a 79 años,102977,46177,56800
México,80 a 84 años,61530,26388,35142
México,85 a 89 años,31282,12505,18777
México,90 a 94 años,11029,3929,7100
México,95 a 99 años,5264,1772,3492
México,100 años y más,1334,376,958
México,No especificado,619895,309633,310262
Michoacán de Ocampo,Total,3966073,1892377,2073696
Michoacán de Ocampo,0 a 4 años,400054,202915,197139
Michoacán de Ocampo,5 a 9 años,426654,215699,210955
Michoacán de Ocampo,10 a 14 años,462479,233342,229137
Michoacán de Ocampo,15 a 19 años,423624,202977,220647
Michoacán de Ocampo,20 a 24 años,332440,147596,184844
Michoacán de Ocampo,25 a 29 años,284690,126561,158129
Michoacán de Ocampo,30 a 34 años,273154,124017,149137
Michoacán de Ocampo,35 a 39 años,247470,112596,134874
Michoacán de Ocampo,40 a 44 años,216455,100356,116099
Michoacán de Ocampo,45 a 49 años,182586,85391,97195
Michoacán de Ocampo,50 a 54 años,153673,72818,80855
Michoacán de Ocampo,55 a 59 años,120402,57263,63139
Michoacán de Ocampo,60 a 64 años,104898,49077,55821
Michoacán de Ocampo,65 a 69 años,84325,39858,44467
Michoacán de Ocampo,70 a 74 años,69195,32843,36352
Michoacán de Ocampo,75 a 79 años,50678,24637,26041
Michoacán de Ocampo,80 a 84 años,33279,15582,17697
Michoacán de Ocampo,85 a 89 años,17681,8382,9299
Michoacán de Ocampo,90 a 94 años,7330,3314,4016
Michoacán de Ocampo,95 a 99 años,3683,1616,2067
Michoacán de Ocampo,100 años y más,1046,427,619
Michoacán de Ocampo,No especificado,70277,35110,35167
Morelos,Total,1612899,775311,837588
Morelos,0 a 4 años,150281,76612,73669
Morelos,5 a 9 años,157253,79931,77322
Morelos,10 a 14 años,168541,85250,83291
Morelos,15 a 19 años,155301,76688,78613
Morelos,20 a 24 años,134191,62002,72189
Morelos,25 a 29 años,119236,54001,65235
Morelos,30 a 34 años,118659,54302,64357
Morelos,35 a 39 años,108333,49588,58745
Morelos,40 a 44 años,94307,44081,50226
Morelos,45 a 49 años,81012,37708,43304
Morelos,50 a 54 años,67341,32058,35283
Morelos,55 a 59 años,51112,24477,26635
Morelos,60 a 64 años,43128,20379,22749
Morelos,65 a 69 años,33653,15527,18126
Morelos,70 a 74 años,26836,12445,14391
Morelos,75 a 79 años,19198,9080,10118
Morelos,80 a 84 años,11620,5406,6214
Morelos,85 a 89 años,5851,2574,3277
Morelos,90 a 94 años,2162,909,1253
Morelos,95 a 99 años,1104,452,652
Morelos,100 años y más,390,157,233
Morelos,No especificado,63390,31684,31706
Nayarit,Total,949684,469204,480480
Nayarit,0 a 4 años,92384,46895,45489
Nayarit,5 a 9 años,96834,49627,47207
Nayarit,10 a 14 años,103122,52426,50696
Nayarit,15 a 19 años,97519,48922,48597
Nayarit,20 a 24 años,79031,37566,41465
Nayarit,25 a 29 años,69847,33028,36819
Nayarit,30 a 34 años,69251,33146,36105
Nayarit,35 a 39 años,62553,30053,32500
Nayarit,40 a 44 años,54176,26110,28066
Nayarit,45 a 49 años,47294,22809,24485
Nayarit,50 a 54 años,39727,19578,20149
Nayarit,55 a 59 años,31623,15747,15876
Nayarit,60 a 64 años,27893,13971,13922
Nayarit,65 a 69 años,21551,10898,10653
Nayarit,70 a 74 años,15830,8126,7704
Nayarit,75 a 79 años,11271,5622,5649
Nayarit,80 a 84 años,7228,3538,3690
Nayarit,85 a 89 años,4184,1991,2193
Nayarit,90 a 94 años,1694,790,904
Nayarit,95 a 99 años,788,378,410
Nayarit,100 años y más,222,109,113
Nayarit,No especificado,15662,7874,7788
Nuevo León,Total,4199292,2090673,2108619
Nuevo León,0 a 4 años,396832,202457,194375
Nuevo León,5 a 9 años,403641,205432,198209
Nuevo León,10 a 14 años,381498,193885,187613
Nuevo León,15 a 19 años,372986,187600,185386
Nuevo León,20 a 24 años,381072,191558,189514
Nuevo León,25 a 29 años,364392,181145,183247
Nuevo León,30 a 34 años,368549,183158,185391
Nuevo León,35 a 39 años,322812,159879,162933
Nuevo León,40 a 44 años,265277,131231,134046
Nuevo León,45 a 49 años,218683,106900,111783
Nuevo León,50 a 54 años,172436,83952,88484
Nuevo León,55 a 59 años,134046,65124,68922
Nuevo León,60 a 64 años,108646,52394,56252
Nuevo León,65 a 69 años,83083,39917,43166
Nuevo León,70 a 74 años,59373,27965,31408
Nuevo León,75 a 79 años,40397,18477,21920
Nuevo León,80 a 84 años,24628,10827,13801
Nuevo León,85 a 89 años,11929,5007,6922
Nuevo León,90 a 94 años,4738,1787,2951
Nuevo León,95 a 99 años,1817,709,1108
Nuevo León,100 años y más,376,143,233
Nuevo León,No especificado,82081,41126,40955
Oaxaca,Total,3506821,1674855,1831966
Oaxaca,0 a 4 años,357272,180883,176389
Oaxaca,5 a 9 años,394779,199744,195035
Oaxaca,10 a 14 años,443980,223625,220355
Oaxaca,15 a 19 años,366868,178035,188833
Oaxaca,20 a 24 años,281999,127254,154745
Oaxaca,25 a 29 años,243386,108120,135266
Oaxaca,30 a 34 años,230648,104049,126599
Oaxaca,35 a 39 años,210256,95780,114476
Oaxaca,40 a 44 años,185440,86072,99368
Oaxaca,45 a 49 años,161350,74758,86592
Oaxaca,50 a 54 años,136431,64181,72250
Oaxaca,55 a 59 años,107316,50555,56761
Oaxaca,60 a 64 años,102856,47633,55223
Oaxaca,65 a 69 años,77317,35777,41540
Oaxaca,70 a 74 años,61759,29226,32533
Oaxaca,75 a 79 años,44826,21403,23423
Oaxaca,80 a 84 años,29144,13547,15597
Oaxaca,85 a 89 años,15726,7149,8577
Oaxaca,90 a 94 años,5751,2498,3253
Oaxaca,95 a 99 años,2870,1217,1653
Oaxaca,100 años y más,992,365,627
Oaxaca,No especificado,45855,22984,22871
Puebla,Total,5383133,2578664,2804469
Puebla,0 a 4 años,579804,293977,285827
Puebla,5 a 9 años,586108,297066,289042
Puebla,10 a 14 años,624075,314797,309278
Puebla,15 a 19 años,548971,268014,280957
Puebla,20 a 24 años,474429,217540,256889
Puebla,25 a 29 años,411939,187990,223949
Puebla,30 a 34 años,384349,176534,207815
Puebla,35 a 39 años,340799,156674,184125
Puebla,40 a 44 años,283374,132012,151362
Puebla,45 a 49 años,242420,112766,129654
Puebla,50 a 54 años,197862,92385,105477
Puebla,55 a 59 años,154041,71906,82135
Puebla,60 a 64 años,133552,61586,71966
Puebla,65 a 69 años,100862,46020,54842
Puebla,70 a 74 años,78396,35821,42575
Puebla,75 a 79 años,58514,26859,31655
Puebla,80 a 84 años,36177,16005,20172
Puebla,85 a 89 años,20730,8886,11844
Puebla,90 a 94 años,7209,2908,4301
Puebla,95 a 99 años,3919,1408,2511
Puebla,100 años y más,1187,373,814
Puebla,No especificado,114416,57137,57279
Querétaro,Total,1598139,772759,825380
Querétaro,0 a 4 años,162841,82781,80060
Querétaro,5 a 9 años,168900,85804,83096
Querétaro,10 a 14 años,178589,89895,88694
Querétaro,15 a 19 años,162541,79047,83494
Querétaro,20 a 24 años,146713,68013,78700
Querétaro,25 a 29 años,130500,60021,70479
Querétaro,30 a 34 años,126438,59116,67322
Querétaro,35 a 39 años,109689,51435,58254
Querétaro,40 a 44 años,91576,43747,47829
Querétaro,45 a 49 años,73238,35138,38100
Querétaro,50 a 54 años,57129,27531,29598
Querétaro,55 a 59 años,40621,19600,21021
Querétaro,60 a 64 años,33692,15806,17886
Querétaro,65 a 69 años,24520,11554,12966
Querétaro,70 a 74 años,18292,8548,9744
Querétaro,75 a 79 años,13166,6057,7109
Querétaro,80 a 84 años,8367,3739,4628
Querétaro,85 a 89 años,4475,1851,2624
Querétaro,90 a 94 años,1700,641,1059
Querétaro,95 a 99 años,840,315,525
Querétaro,100 años y más,184,65,119
Querétaro,No especificado,44128,22055,22073
Quintana Roo,Total,1135309,574837,560472
Quintana Roo,0 a 4 años,107380,54437,52943
Quintana Roo,5 a 9 años,106802,54551,52251
Quintana Roo,10 a 14 años,106745,54091,52654
Quintana Roo,15 a 19 años,102042,51828,50214
Quintana Roo,20 a 24 años,103377,52041,51336
Quintana Roo,25 a 29 años,97203,48401,48802
Quintana Roo,30 a 34 años,93113,46621,46492
Quintana Roo,35 a 39 años,78570,39966,38604
Quintana Roo,40 a 44 años,59687,30565,29122
Quintana Roo,45 a 49 años,43595,22306,21289
Quintana Roo,50 a 54 años,32692,16898,15794
Quintana Roo,55 a 59 años,23000,11898,11102
Quintana Roo,60 a 64 años,16414,8388,8026
Quintana Roo,65 a 69 años,10845,5559,5286
Quintana Roo,70 a 74 años,7226,3713,3513
Quintana Roo,75 a 79 años,4657,2454,2203
Quintana Roo,80 a 84 años,2770,1457,1313
Quintana Roo,85 a 89 años,1499,754,745
Quintana Roo,90 a 94 años,477,248,229
Quintana Roo,95 a 99 años,205,112,93
Quintana Roo,100 años y más,70,46,24
Quintana Roo,No especificado,136940,68503,68437
San Luis Potosí,Total,2410414,1167308,1243106
San Luis Potosí,0 a 4 años,253580,128094,125486
San Luis Potosí,5 a 9 años,266312,135091,131221
San Luis Potosí,10 a 14 años,285397,144282,141115
San Luis Potosí,15 a 19 años,247158,121587,125571
San Luis Potosí,20 a 24 años,198562,91177,107385
San Luis Potosí,25 a 29 años,173849,79474,94375
San Luis Potosí,30 a 34 años,171383,79159,92224
San Luis Potosí,35 a 39 años,155867,72725,83142
San Luis Potosí,40 a 44 años,134538,63383,71155
San Luis Potosí,45 a 49 años,113281,53881,59400
San Luis Potosí,50 a 54 años,92388,44537,47851
San Luis Potosí,55 a 59 años,73276,35625,37651
San Luis Potosí,60 a 64 años,65308,31164,34144
San Luis Potosí,65 a 69 años,51272,24723,26549
San Luis Potosí,70 a 74 años,40409,19645,20764
San Luis Potosí,75 a 79 años,29792,14795,14997
San Luis Potosí,80 a 84 años,19149,9277,9872
San Luis Potosí,85 a 89 años,9094,4254,4840
San Luis Potosí,90 a 94 años,3817,1670,2147
San Luis Potosí,95 a 99 años,1978,831,1147
San Luis Potosí,100 años y más,515,187,328
San Luis Potosí,No especificado,23489,11747,11742
Sinaloa,Total,2608442,1294617,1313825
Sinaloa,0 a 4 años,244907,124872,120035
Sinaloa,5 a 9 años,262539,133821,128718
Sinaloa,10 a 14 años,275179,139909,135270
Sinaloa,15 a 19 años,256624,129543,127081
Sinaloa,20 a 24 años,220179,108293,111886
Sinaloa,25 a 29 años,196928,95435,101493
Sinaloa,30 a 34 años,197089,95801,101288
Sinaloa,35 a 39 años,177043,85905,91138
Sinaloa,40 a 44 años,154173,74352,79821
Sinaloa,45 a 49 años,130129,62475,67654
Sinaloa,50 a 54 años,107972,52869,55103
Sinaloa,55 a 59 años,84875,42299,42576
Sinaloa,60 a 64 años,71711,36009,35702
Sinaloa,65 a 69 años,53783,26831,26952
Sinaloa,70 a 74 años,38183,19176,19007
