Entidad_federativa,Grupo_quinquenal_de_edad,Total,Hombres,Mujeres
Sinaloa,60 a 64 años,60539,30717,29822
Sinaloa,65 a 69 años,43760,21897,21863
Sinaloa,70 a 74 años,32080,16165,15915
Sinaloa,75 a 79 años,22153,10939,11214
Sinaloa,80 a 84 años,13422,6292,7130
Sinaloa,85 a 89 años,7860,3526,4334
Sinaloa,90 a 94 años,2930,1261,1669
Sinaloa,95 a 99 años,1379,609,770
Sinaloa,100 años y más,459,190,269
Sinaloa,No especificado,15320,8139,7181
Sonora,Total,2216969,1110590,1106379
Sonora,0 a 4 años,244619,124895,119724
Sonora,5 a 9 años,246494,125302,121192
Sonora,10 a 14 años,228055,115733,112322
Sonora,15 a 19 años,218530,110432,108098
Sonora,20 a 24 años,210638,104754,105884
Sonora,25 a 29 años,195388,96583,98805
Sonora,30 a 34 años,172782,84967,87815
Sonora,35 a 39 años,154516,76116,78400
Sonora,40 a 44 años,131251,65236,66015
Sonora,45 a 49 años,99234,49469,49765
Sonora,50 a 54 años,80037,40221,39816
Sonora,55 a 59 años,61747,30932,30815
Sonora,60 a 64 años,52615,26211,26404
Sonora,65 a 69 años,38990,19465,19525
Sonora,70 a 74 años,28081,13992,14089
Sonora,75 a 79 años,19133,9546,9587
Sonora,80 a 84 años,10430,4768,5662
Sonora,85 a 89 años,5569,2411,3158
Sonora,90 a 94 años,1964,809,1155
Sonora,95 a 99 años,872,377,495
Sonora,100 años y más,291,128,163
Sonora,No especificado,15733,8243,7490
Tabasco,Total,1891829,934515,957314
Tabasco,0 a 4 años,213787,108402,105385
Tabasco,5 a 9 años,228831,115198,113633
Tabasco,10 a 14 años,228638,115487,113151
Tabasco,15 a 19 años,212731,103712,109019
Tabasco,20 a 24 años,187604,88414,99190
Tabasco,25 a 29 años,159811,75114,84697
Tabasco,30 a 34 años,137071,66120,70951
Tabasco,35 a 39 años,127391,62556,64835
Tabasco,40 a 44 años,97004,48328,48676
Tabasco,45 a 49 años,76068,38312,37756
Tabasco,50 a 54 años,56490,28725,27765
Tabasco,55 a 59 años,42339,21172,21167
Tabasco,60 a 64 años,36344,18246,18098
Tabasco,65 a 69 años,26854,13283,13571
Tabasco,70 a 74 años,18952,9894,9058
Tabasco,75 a 79 años,12879,6724,6155
Tabasco,80 a 84 años,7156,3607,3549
Tabasco,85 a 89 años,4324,2114,2210
Tabasco,90 a 94 años,2081,1015,1066
Tabasco,95 a 99 años,1225,624,601
Tabasco,100 años y más,573,273,300
Tabasco,No especificado,13676,7195,6481
Tamaulipas,Total,2753222,1359874,1393348
Tamaulipas,0 a 4 años,296314,151229,145085
Tamaulipas,5 a 9 años,294747,149746,145001
Tamaulipas,10 a 14 años,270114,137462,132652
Tamaulipas,15 a 19 años,271411,134951,136460
Tamaulipas,20 a 24 años,272292,132737,139555
Tamaulipas,25 a 29 años,252514,122317,130197
Tamaulipas,30 a 34 años,222680,108057,114623
Tamaulipas,35 a 39 años,190906,93099,97807
Tamaulipas,40 a 44 años,154690,75506,79184
Tamaulipas,45 a 49 años,116567,56909,59658
Tamaulipas,50 a 54 años,98820,47668,51152
Tamaulipas,55 a 59 años,76894,37471,39423
Tamaulipas,60 a 64 años,67945,32371,35574
Tamaulipas,65 a 69 años,50474,24123,26351
Tamaulipas,70 a 74 años,36696,17593,19103
Tamaulipas,75 a 79 años,24953,12103,12850
Tamaulipas,80 a 84 años,12307,5559,6748
Tamaulipas,85 a 89 años,7883,3441,4442
Tamaulipas,90 a 94 años,3307,1409,1898
Tamaulipas,95 a 99 años,1680,727,953
Tamaulipas,100 años y más,429,179,250
Tamaulipas,No especificado,29599,15217,14382
Tlaxcala,Total,962646,469948,492698
Tlaxcala,0 a 4 años,108862,55386,53476
Tlaxcala,5 a 9 años,115925,58718,57207
Tlaxcala,10 a 14 años,110488,56118,54370
Tlaxcala,15 a 19 años,106450,52418,54032
Tlaxcala,20 a 24 años,95999,45652,50347
Tlaxcala,25 a 29 años,79360,37296,42064
Tlaxcala,30 a 34 años,69785,32599,37186
Tlaxcala,35 a 39 años,61295,28977,32318
Tlaxcala,40 a 44 años,48701,23243,25458
Tlaxcala,45 a 49 años,36434,17540,18894
Tlaxcala,50 a 54 años,29923,14389,15534
Tlaxcala,55 a 59 años,22869,11097,11772
Tlaxcala,60 a 64 años,20010,9496,10514
Tlaxcala,65 a 69 años,16582,7743,8839
Tlaxcala,70 a 74 años,12377,6038,6339
Tlaxcala,75 a 79 años,9585,4700,4885
Tlaxcala,80 a 84 años,5308,2544,2764
Tlaxcala,85 a 89 años,3366,1531,1835
Tlaxcala,90 a 94 años,1392,623,769
Tlaxcala,95 a 99 años,828,361,467
Tlaxcala,100 años y más,200,68,132
Tlaxcala,No especificado,6907,3411,3496
Veracruz de Ignacio de la Llave,Total,6908975,3355164,3553811
Veracruz de Ignacio de la Llave,0 a 4 años,728473,369566,358907
Veracruz de Ignacio de la Llave,5 a 9 años,812674,412270,400404
Veracruz de Ignacio de la Llave,10 a 14 años,797328,404351,392977
Veracruz de Ignacio de la Llave,15 a 19 años,709056,349083,359973
Veracruz de Ignacio de la Llave,20 a 24 años,593263,274257,319006
Veracruz de Ignacio de la Llave,25 a 29 años,536397,246494,289903
Veracruz de Ignacio de la Llave,30 a 34 años,498825,233227,265598
Veracruz de Ignacio de la Llave,35 a 39 años,459768,217408,242360
Veracruz de Ignacio de la Llave,40 a 44 años,380702,181477,199225
Veracruz de Ignacio de la Llave,45 a 49 años,312790,149441,163349
Veracruz de Ignacio de la Llave,50 a 54 años,259882,125663,134219
Veracruz de Ignacio de la Llave,55 a 59 años,205722,99382,106340
Veracruz de Ignacio de la Llave,60 a 64 años,178582,85264,93318
Veracruz de Ignacio de la Llave,65 a 69 años,132984,62339,70645
Veracruz de Ignacio de la Llave,70 a 74 años,97101,46706,50395
Veracruz de Ignacio de la Llave,75 a 79 años,66604,32117,34487
Veracruz de Ignacio de la Llave,80 a 84 años,36758,16776,19982
Veracruz de Ignacio de la Llave,85 a 89 años,22336,9680,12656
Veracruz de Ignacio de la Llave,90 a 94 años,9608,4171,5437
Veracruz de Ignacio de la Llave,95 a 99 años,5467,2363,3104
Veracruz de Ignacio de la Llave,100 años y más,2261,913,1348
Veracruz de Ignacio de la Llave,No especificado,62394,32216,30178
Yucatán,Total,1658210,818205,840005
Yucatán,0 a 4 años,173213,88088,85125
Yucatán,5 a 9 años,185605,93955,91650
Yucatán,10 a 14 años,183581,92863,90718
Yucatán,15 a 19 años,175320,86908,88412
Yucatán,20 a 24 años,160339,78157,82182
Yucatán,25 a 29 años,136614,65813,70801
Yucatán,30 a 34 años,114882,55218,59664
Yucatán,35 a 39 años,104381,50181,54200
Yucatán,40 a 44 años,87383,42447,44936
Yucatán,45 a 49 años,74855,36168,38687
Yucatán,50 a 54 años,63846,31152,32694
Yucatán,55 a 59 años,47242,22922,24320
Yucatán,60 a 64 años,40706,19687,21019
Yucatán,65 a 69 años,31712,15476,16236
Yucatán,70 a 74 años,24429,12129,12300
Yucatán,75 a 79 años,19372,9775,9597
Yucatán,80 a 84 años,12282,5991,6291
Yucatán,85 a 89 años,6478,3108,3370
Yucatán,90 a 94 años,2419,1138,1281
Yucatán,95 a 99 años,1007,463,544
Yucatán,100 años y más,230,107,123
Yucatán,No especificado,12314,6459,5855
Zacatecas,Total,1353610,653583,700027
Zacatecas,0 a 4 años,156356,79468,76888
Zacatecas,5 a 9 años,164225,83334,80891
Zacatecas,10 a 14 años,171383,86962,84421
Zacatecas,15 a 19 años,145464,69249,76215
Zacatecas,20 a 24 años,119820,53411,66409
Zacatecas,25 a 29 años,101757,46340,55417
Zacatecas,30 a 34 años,91476,41919,49557
Zacatecas,35 a 39 años,79770,37063,42707
Zacatecas,40 a 44 años,64510,30278,34232
Zacatecas,45 a 49 años,50907,24127,26780
Zacatecas,50 a 54 años,44565,21278,23287
Zacatecas,55 a 59 años,37283,18116,19167
Zacatecas,60 a 64 años,33857,16374,17483
Zacatecas,65 a 69 años,27493,13503,13990
Zacatecas,70 a 74 años,22021,11141,10880
Zacatecas,75 a 79 años,15781,8007,7774
Zacatecas,80 a 84 años,8519,4126,4393
Zacatecas,85 a 89 años,5780,2746,3034
Zacatecas,90 a 94 años,2522,1162,1360
Zacatecas,95 a 99 años,1331,589,742
Zacatecas,100 años y más,260,110,150
Zacatecas,No especificado,8530,4280,4250
