City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Virudhunagar,2,0,0,0,676.8,0,338.4,,0.00%,
Visakhapatnam,20,0,3,4,7989.25,0,399.4625,,0.00%,
Vizianagaram,2,0,0,1,325.79,0,162.895,,0.00%,
Wahal,1,0,0,0,154,0,154,,0.00%,
Warangal,3,0,0,0,814.5,0,271.5,,0.00%,
Wardha,1,0,0,0,608.04,0,608.04,,0.00%,
Yadgir,1,0,0,0,463.66,0,463.66,,0.00%,
Yamuna Nagar,4,0,0,1,831.92,0,207.98,,0.00%,
Yavatmal,2,0,0,0,698.55,0,349.275,,0.00%,
Yeola,1,0,0,1,51.71,0,51.71,,0.00%,
