Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Hidalgo,0 a 4 años,246015,124021,121994
Hidalgo,5 a 9 años,269371,135688,133683
Hidalgo,10 a 14 años,260049,131741,128308
Hidalgo,15 a 19 años,210593,105116,105477
Hidalgo,20 a 24 años,160396,75252,85144
Hidalgo,25 a 29 años,137762,64262,73500
Hidalgo,30 a 34 años,117480,56395,61085
Hidalgo,35 a 39 años,106107,51450,54657
Hidalgo,40 a 44 años,77683,38622,39061
Hidalgo,45 a 49 años,70768,34915,35853
Hidalgo,50 a 54 años,54437,26964,27473
Hidalgo,55 a 59 años,43533,21769,21764
Hidalgo,60 a 64 años,37433,18053,19380
Hidalgo,65 a 69 años,28339,13645,14694
Hidalgo,70 a 74 años,21014,9901,11113
Hidalgo,75 a 79 años,14328,6797,7531
Hidalgo,80 a 84 años,9644,4127,5517
Hidalgo,85 a 89 años,5340,2254,3086
Hidalgo,90 a 94 años,2384,862,1522
Hidalgo,95 a 99 años,1153,409,744
Hidalgo,100 años y más,728,252,476
Hidalgo,No especificado,13809,6643,7166
Jalisco,Total,5302689,2564892,2737797
Jalisco,0 a 4 años,671649,340007,331642
Jalisco,5 a 9 años,695463,352079,343384
Jalisco,10 a 14 años,681667,342191,339476
Jalisco,15 a 19 años,643430,311635,331795
Jalisco,20 a 24 años,491687,224235,267452
Jalisco,25 a 29 años,390128,179028,211100
Jalisco,30 a 34 años,337131,156725,180406
Jalisco,35 a 39 años,289603,136230,153373
Jalisco,40 a 44 años,231557,111269,120288
Jalisco,45 a 49 años,190247,92271,97976
Jalisco,50 a 54 años,151319,71875,79444
Jalisco,55 a 59 años,120026,56950,63076
Jalisco,60 a 64 años,105816,49067,56749
Jalisco,65 a 69 años,85330,40115,45215
Jalisco,70 a 74 años,64662,30562,34100
Jalisco,75 a 79 años,47547,22409,25138
Jalisco,80 a 84 años,30814,13802,17012
Jalisco,85 a 89 años,17241,7564,9677
Jalisco,90 a 94 años,7097,2979,4118
Jalisco,95 a 99 años,2805,1181,1624
Jalisco,100 años y más,1158,462,696
Jalisco,No especificado,46312,22256,24056
México,Total,9815795,4834549,4981246
México,0 a 4 años,1229996,622293,607703
México,5 a 9 años,1284167,647646,636521
México,10 a 14 años,1248189,626149,622040
México,15 a 19 años,1198496,592244,606252
México,20 a 24 años,1010653,488297,522356
México,25 a 29 años,834509,399918,434591
México,30 a 34 años,709181,341203,367978
México,35 a 39 años,584990,287047,297943
México,40 a 44 años,429384,213167,216217
México,45 a 49 años,348862,173369,175493
México,50 a 54 años,264020,129860,134160
México,55 a 59 años,200166,97577,102589
México,60 a 64 años,156005,73584,82421
México,65 a 69 años,112907,52962,59945
México,70 a 74 años,69215,31524,37691
México,75 a 79 años,49615,21815,27800
México,80 a 84 años,31272,12980,18292
México,85 a 89 años,19588,7689,11899
México,90 a 94 años,7312,2595,4717
México,95 a 99 años,3497,1249,2248
México,100 años y más,1510,456,1054
México,No especificado,22261,10925,11336
Michoacán de Ocampo,Total,3548199,1718763,1829436
Michoacán de Ocampo,0 a 4 años,468480,236418,232062
Michoacán de Ocampo,5 a 9 años,491674,248142,243532
Michoacán de Ocampo,10 a 14 años,496659,249951,246708
Michoacán de Ocampo,15 a 19 años,431353,206567,224786
Michoacán de Ocampo,20 a 24 años,311727,139326,172401
Michoacán de Ocampo,25 a 29 años,240995,110101,130894
Michoacán de Ocampo,30 a 34 años,203845,95021,108824
Michoacán de Ocampo,35 a 39 años,176749,84247,92502
Michoacán de Ocampo,40 a 44 años,139854,67100,72754
Michoacán de Ocampo,45 a 49 años,118842,56801,62041
Michoacán de Ocampo,50 a 54 años,101422,48461,52961
Michoacán de Ocampo,55 a 59 años,81634,39451,42183
Michoacán de Ocampo,60 a 64 años,75014,35904,39110
Michoacán de Ocampo,65 a 69 años,53580,25886,27694
Michoacán de Ocampo,70 a 74 años,42296,20996,21300
Michoacán de Ocampo,75 a 79 años,28987,14307,14680
Michoacán de Ocampo,80 a 84 años,22110,10286,11824
Michoacán de Ocampo,85 a 89 años,11618,5474,6144
Michoacán de Ocampo,90 a 94 años,5454,2435,3019
Michoacán de Ocampo,95 a 99 años,2240,952,1288
Michoacán de Ocampo,100 años y más,1287,490,797
Michoacán de Ocampo,No especificado,42379,20447,21932
Morelos,Total,1195059,583785,611274
Morelos,0 a 4 años,143093,73026,70067
Morelos,5 a 9 años,151548,76657,74891
Morelos,10 a 14 años,153841,77268,76573
Morelos,15 a 19 años,145197,70866,74331
Morelos,20 a 24 años,112583,52506,60077
Morelos,25 a 29 años,92584,43917,48667
Morelos,30 a 34 años,80162,37720,42442
Morelos,35 a 39 años,69744,33847,35897
Morelos,40 a 44 años,51951,25363,26588
Morelos,45 a 49 años,44861,21488,23373
Morelos,50 a 54 años,36413,17358,19055
Morelos,55 a 59 años,31036,14823,16213
Morelos,60 a 64 años,25391,12214,13177
Morelos,65 a 69 años,19143,9250,9893
Morelos,70 a 74 años,11909,5750,6159
Morelos,75 a 79 años,8825,4105,4720
Morelos,80 a 84 años,6335,2812,3523
Morelos,85 a 89 años,3888,1800,2088
Morelos,90 a 94 años,1671,734,937
Morelos,95 a 99 años,680,291,389
Morelos,100 años y más,303,117,186
Morelos,No especificado,3901,1873,2028
Nayarit,Total,824643,411057,413586
Nayarit,0 a 4 años,103227,52490,50737
Nayarit,5 a 9 años,109363,55506,53857
Nayarit,10 a 14 años,112910,57093,55817
Nayarit,15 a 19 años,99779,49847,49932
Nayarit,20 a 24 años,70005,33394,36611
Nayarit,25 a 29 años,56622,27020,29602
Nayarit,30 a 34 años,49504,23882,25622
Nayarit,35 a 39 años,44384,21711,22673
Nayarit,40 a 44 años,34689,17253,17436
Nayarit,45 a 49 años,30609,15426,15183
Nayarit,50 a 54 años,25661,13038,12623
Nayarit,55 a 59 años,20264,10438,9826
Nayarit,60 a 64 años,17158,8686,8472
Nayarit,65 a 69 años,13413,6789,6624
Nayarit,70 a 74 años,10358,5268,5090
Nayarit,75 a 79 años,7592,3808,3784
Nayarit,80 a 84 años,4885,2400,2485
Nayarit,85 a 89 años,2657,1299,1358
Nayarit,90 a 94 años,1121,518,603
Nayarit,95 a 99 años,465,227,238
Nayarit,100 años y más,252,112,140
Nayarit,No especificado,9725,4852,4873
Nuevo León,Total,3098736,1542664,1556072
Nuevo León,0 a 4 años,331519,168597,162922
Nuevo León,5 a 9 años,350558,178254,172304
Nuevo León,10 a 14 años,369459,186328,183131
Nuevo León,15 a 19 años,388480,195037,193443
Nuevo León,20 a 24 años,337524,168514,169010
Nuevo León,25 a 29 años,267335,131768,135567
Nuevo León,30 a 34 años,226879,110900,115979
Nuevo León,35 a 39 años,180402,88772,91630
Nuevo León,40 a 44 años,145262,71411,73851
Nuevo León,45 a 49 años,121838,60748,61090
Nuevo León,50 a 54 años,100263,49598,50665
Nuevo León,55 a 59 años,75104,36957,38147
Nuevo León,60 a 64 años,62398,29546,32852
Nuevo León,65 a 69 años,46095,22190,23905
Nuevo León,70 a 74 años,29882,13885,15997
Nuevo León,75 a 79 años,23068,10578,12490
Nuevo León,80 a 84 años,14384,6381,8003
Nuevo León,85 a 89 años,7963,3447,4516
Nuevo León,90 a 94 años,2486,1061,1425
Nuevo León,95 a 99 años,910,382,528
Nuevo León,100 años y más,334,108,226
Nuevo León,No especificado,16593,8202,8391
Oaxaca,Total,3019560,1477438,1542122
Oaxaca,0 a 4 años,410741,207210,203531
Oaxaca,5 a 9 años,452387,228078,224309
Oaxaca,10 a 14 años,422710,214416,208294
Oaxaca,15 a 19 años,324057,159459,164598
Oaxaca,20 a 24 años,245537,115625,129912
Oaxaca,25 a 29 años,205136,95962,109174
Oaxaca,30 a 34 años,174609,82811,91798
Oaxaca,35 a 39 años,158367,74828,83539
Oaxaca,40 a 44 años,122750,58580,64170
Oaxaca,45 a 49 años,114456,54594,59862
Oaxaca,50 a 54 años,93382,44627,48755
Oaxaca,55 a 59 años,77251,37064,40187
Oaxaca,60 a 64 años,68702,33329,35373
Oaxaca,65 a 69 años,48631,23567,25064
Oaxaca,70 a 74 años,35881,17231,18650
Oaxaca,75 a 79 años,24056,11640,12416
Oaxaca,80 a 84 años,17595,7929,9666
Oaxaca,85 a 89 años,9700,4452,5248
Oaxaca,90 a 94 años,4323,1849,2474
Oaxaca,95 a 99 años,1879,732,1147
Oaxaca,100 años y más,1070,433,637
Oaxaca,No especificado,6340,3022,3318
Puebla,Total,4126101,2008531,2117570
Puebla,0 a 4 años,549465,277188,272277
Puebla,5 a 9 años,587427,295554,291873
Puebla,10 a 14 años,566985,284925,282060
Puebla,15 a 19 años,471300,231159,240141
Puebla,20 a 24 años,369823,174448,195375
Puebla,25 a 29 años,295479,138847,156632
Puebla,30 a 34 años,250317,118110,132207
Puebla,35 a 39 años,220557,104236,116321
Puebla,40 a 44 años,166092,79353,86739
Puebla,45 a 49 años,148058,70806,77252
Puebla,50 a 54 años,118670,56107,62563
Puebla,55 a 59 años,99683,47017,52666
Puebla,60 a 64 años,85006,40083,44923
Puebla,65 a 69 años,63979,30069,33910
Puebla,70 a 74 años,45259,21277,23982
Puebla,75 a 79 años,31992,14971,17021
Puebla,80 a 84 años,22198,9781,12417
Puebla,85 a 89 años,13525,5853,7672
Puebla,90 a 94 años,5691,2258,3433
Puebla,95 a 99 años,2545,950,1595
Puebla,100 años y más,1338,436,902
Puebla,No especificado,10712,5103,5609
Querétaro,Total,1051235,516168,535067
Querétaro,0 a 4 años,146179,73769,72410
Querétaro,5 a 9 años,149342,75103,74239
Querétaro,10 a 14 años,140664,70380,70284
Querétaro,15 a 19 años,125235,61191,64044
Querétaro,20 a 24 años,100487,47269,53218
Querétaro,25 a 29 años,81606,38944,42662
Querétaro,30 a 34 años,67780,32945,34835
Querétaro,35 a 39 años,55252,27222,28030
Querétaro,40 a 44 años,40378,19975,20403
Querétaro,45 a 49 años,33968,16788,17180
Querétaro,50 a 54 años,25959,12636,13323
Querétaro,55 a 59 años,21099,10276,10823
Querétaro,60 a 64 años,17638,8451,9187
Querétaro,65 a 69 años,13200,6350,6850
Querétaro,70 a 74 años,8951,4190,4761
Querétaro,75 a 79 años,6927,3161,3766
Querétaro,80 a 84 años,4961,2151,2810
Querétaro,85 a 89 años,2880,1297,1583
Querétaro,90 a 94 años,1199,492,707
Querétaro,95 a 99 años,486,186,300
Querétaro,100 años y más,187,62,125
Querétaro,No especificado,6857,3330,3527
Quintana Roo,Total,493277,254908,238369
Quintana Roo,0 a 4 años,71097,35966,35131
Quintana Roo,5 a 9 años,66069,33610,32459
Quintana Roo,10 a 14 años,58780,29888,28892
Quintana Roo,15 a 19 años,55940,28691,27249
Quintana Roo,20 a 24 años,54226,27810,26416
Quintana Roo,25 a 29 años,46170,23617,22553
Quintana Roo,30 a 34 años,35950,18643,17307
Quintana Roo,35 a 39 años,28267,14845,13422
Quintana Roo,40 a 44 años,19006,10413,8593
Quintana Roo,45 a 49 años,14626,8007,6619
Quintana Roo,50 a 54 años,10415,5665,4750
Quintana Roo,55 a 59 años,7518,4017,3501
Quintana Roo,60 a 64 años,5735,3220,2515
Quintana Roo,65 a 69 años,3980,2228,1752
Quintana Roo,70 a 74 años,2724,1567,1157
Quintana Roo,75 a 79 años,1607,888,719
Quintana Roo,80 a 84 años,978,569,409
Quintana Roo,85 a 89 años,477,254,223
Quintana Roo,90 a 94 años,233,134,99
Quintana Roo,95 a 99 años,111,50,61
Quintana Roo,100 años y más,56,30,26
Quintana Roo,No especificado,9312,4796,4516
San Luis Potosí,Total,2003187,987315,1015872
San Luis Potosí,0 a 4 años,270709,137343,133366
San Luis Potosí,5 a 9 años,278401,140173,138228
San Luis Potosí,10 a 14 años,271005,136540,134465
San Luis Potosí,15 a 19 años,231951,115288,116663
San Luis Potosí,20 a 24 años,176897,83499,93398
San Luis Potosí,25 a 29 años,142709,67273,75436
San Luis Potosí,30 a 34 años,119334,56953,62381
San Luis Potosí,35 a 39 años,102364,49465,52899
San Luis Potosí,40 a 44 años,80896,39374,41522
San Luis Potosí,45 a 49 años,72233,35211,37022
San Luis Potosí,50 a 54 años,61690,30305,31385
San Luis Potosí,55 a 59 años,49815,24679,25136
San Luis Potosí,60 a 64 años,43493,21396,22097
San Luis Potosí,65 a 69 años,31872,15960,15912
San Luis Potosí,70 a 74 años,20470,10187,10283
San Luis Potosí,75 a 79 años,16253,8027,8226
San Luis Potosí,80 a 84 años,12274,5827,6447
San Luis Potosí,85 a 89 años,7510,3587,3923
San Luis Potosí,90 a 94 años,2773,1259,1514
San Luis Potosí,95 a 99 años,1136,475,661
San Luis Potosí,100 años y más,529,174,355
San Luis Potosí,No especificado,8873,4320,4553
Sinaloa,Total,2204054,1101621,1102433
Sinaloa,0 a 4 años,268247,136016,132231
Sinaloa,5 a 9 años,281174,142135,139039
Sinaloa,10 a 14 años,297270,150517,146753
Sinaloa,15 a 19 años,280493,140816,139677
Sinaloa,20 a 24 años,208619,101847,106772
Sinaloa,25 a 29 años,164727,79037,85690
